# Frequency(Hz) Omega_GW(Taiji) Omega_GW(TianQin)
8.549327066268385105e-04 1.746140682689485167e-11 5.139053199099637414e-10
8.648423275731726865e-04 1.719444868815865766e-11 5.074118257249417827e-10
8.748668120479914266e-04 1.693289978333585219e-11 5.010067795605001605e-10
8.850074914473439122e-04 1.667662086157760453e-11 4.946888570632786246e-10
8.952657125996401179e-04 1.642547698370875365e-11 4.884567564587032382e-10
9.056428379445294243e-04 1.617933738370076602e-11 4.823091981348360512e-10
9.161402457138521178e-04 1.593807533487324557e-11 4.762449242349790325e-10
9.267593301146882789e-04 1.570156802066736788e-11 4.702626982588529701e-10
9.375015015145289968e-04 1.546969640983942825e-11 4.643613046721771144e-10
9.483681866285927856e-04 1.524234513592856120e-11 4.585395485244829387e-10
9.593608287093146345e-04 1.501940238085737109e-11 4.527962550749962198e-10
9.704808877380306743e-04 1.480075976252927312e-11 4.471302694264289813e-10
9.817298406188841586e-04 1.458631222629114608e-11 4.415404561665204135e-10
9.931091813749799713e-04 1.437595794013427590e-11 4.360256990171784969e-10
1.004620421346813248e-03 1.416959819351130800e-11 4.305849004910729208e-10
1.016265089392995096e-03 1.396713729965105403e-11 4.252169815555303522e-10
1.028044732093309679e-03 1.376848250125695844e-11 4.199208813035967596e-10
1.039960913954120214e-03 1.357354387947957011e-11 4.146955566321202767e-10
1.052015217616159145e-03 1.338223426605681691e-11 4.095399819267318224e-10
1.064209244064724582e-03 1.319446915851960158e-11 4.044531487535821832e-10
1.076544612842315982e-03 1.301016663836439583e-11 3.994340655577115335e-10
1.089022962263730540e-03 1.282924729209739365e-11 3.944817573679338823e-10
1.101645949633656921e-03 1.265163413505862474e-11 3.895952655081022353e-10
1.114415251466788041e-03 1.247725253793755696e-11 3.847736473146493703e-10
1.127332563710487130e-03 1.230603015589506410e-11 3.800159758602865581e-10
1.140399601970033122e-03 1.213789686020943350e-11 3.753213396837432357e-10
1.153618101736478534e-03 1.197278467236743719e-11 3.706888425254494028e-10
1.166989818617147380e-03 1.181062770052414293e-11 3.661176030690454029e-10
1.180516528568805639e-03 1.165136207825818863e-11 3.616067546886274263e-10
1.194200028133532475e-03 1.149492590555159585e-11 3.571554452016218734e-10
1.208042134677328851e-03 1.134125919192635980e-11 3.527628366271979516e-10
1.222044686631488684e-03 1.119030380167214708e-11 3.484281049501201210e-10
1.236209543736769200e-03 1.104200340110218378e-11 3.441504398899555529e-10
1.250538587290391272e-03 1.089630340777676869e-11 3.399290446755466448e-10
1.265033720395903781e-03 1.075315094163611815e-11 3.357631358246615820e-10
1.279696868215941504e-03 1.061249477798679660e-11 3.316519429287494831e-10
1.294529978227915981e-03 1.047428530228758485e-11 3.275947084427083112e-10
1.309535020482667771e-03 1.033847446668364631e-11 3.235906874796014451e-10
1.324713987866117399e-03 1.020501574823913083e-11 3.196391476102417430e-10
1.340068896363950761e-03 1.007386410882091349e-11 3.157393686675748567e-10
1.355601785329368925e-03 9.944975956587845712e-12 3.118906425557939149e-10
1.371314717753945684e-03 9.818309109042015764e-12 3.080922730641164555e-10
1.387209780541621062e-03 9.693822757600199242e-12 3.043435756851663756e-10
1.403289084785873256e-03 9.571477433645676872e-12 3.006438774378937942e-10
1.419554766050101563e-03 9.451234976022183546e-12 2.969925166949789060e-10
1.436008984651260603e-03 9.333058499933739682e-12 2.933888430146659561e-10
1.452653925946781202e-03 9.216912367215489195e-12 2.898322169769676754e-10
1.469491800624817164e-03 9.102762157942571589e-12 2.863220100241977827e-10
1.486524844997857194e-03 8.990574643345616303e-12 2.828576043057786671e-10
1.503755321299738400e-03 8.880317760002911156e-12 2.794383925272811333e-10
1.521185517986104949e-03 8.771960585280886514e-12 2.760637778036524717e-10
1.538817750038346368e-03 8.665473313996299980e-12 2.727331735165937193e-10
1.556654359271062099e-03 8.560827236274533948e-12 2.694460031760468178e-10
1.574697714643086797e-03 8.457994716580386122e-12 2.662017002857610146e-10
1.592950212572122977e-03 8.356949173898641102e-12 2.629997082128964721e-10
1.611414277253019837e-03 8.257665063043686944e-12 2.598394800616470971e-10
1.630092360979741193e-03 8.160117857078262999e-12 2.567204785508456757e-10
1.648986944471065013e-03 8.064284030823281584e-12 2.536421758955318240e-10
1.668100537200059227e-03 7.970141045441599904e-12 2.506040536924562840e-10
1.687435677727375672e-03 7.877667334080268108e-12 2.476056028095063149e-10
1.706994934038407906e-03 7.786842288556931316e-12 2.446463232790305161e-10
1.726780903884356060e-03 7.697646247077357515e-12 2.417257241950531583e-10
1.746796215127245774e-03 7.610060482972501100e-12 2.388433236143604938e-10
1.767043526088946754e-03 7.524067194444584594e-12 2.359986484614567740e-10
1.787525525904235402e-03 7.439649495313193260e-12 2.331912344373773061e-10
1.808244934877951829e-03 7.356791406753374140e-12 2.304206259323577743e-10
1.829204504846293749e-03 7.275477850019322407e-12 2.276863759423598249e-10
1.850407019542302115e-03 7.195694640148203241e-12 2.249880459894513660e-10
1.871855294965579265e-03 7.117428480640090439e-12 2.223252060460495143e-10
1.893552179756295304e-03 7.040666959111288207e-12 2.196974344630327849e-10
1.915500555573527823e-03 6.965398543919411632e-12 2.171043179017302227e-10
1.937703337477988952e-03 6.891612581760096627e-12 2.145454512698070477e-10
1.960163474319185500e-03 6.819299296236303003e-12 2.120204376610564263e-10
1.982883949127071596e-03 6.748449787402595308e-12 2.095288882991209983e-10
2.005867779508234156e-03 6.679056032288050224e-12 2.070704224851663869e-10
2.029118018046678195e-03 6.611110886402730979e-12 2.046446675495312778e-10
2.052637752709252084e-03 6.544608086234057856e-12 2.022512588073836104e-10
2.076430107255774777e-03 6.479542252740714892e-12 1.998898395184149356e-10
2.100498241653915316e-03 6.415908895853182882e-12 1.975600608506110945e-10
2.124845352498882720e-03 6.353704419991227124e-12 1.952615818481332860e-10
2.149474673437980470e-03 6.292926130610292031e-12 1.929940694033570873e-10
2.174389475600079814e-03 6.233572241790104537e-12 1.907571982331138886e-10
2.199593068030074750e-03 6.175641884880184105e-12 1.885506508591831300e-10
2.225088798128369450e-03 6.119135118218663204e-12 1.863741175930926773e-10
2.250880052095461867e-03 6.064052937942213941e-12 1.842272965252795248e-10
2.276970255381679901e-03 6.010397289906519591e-12 1.821098935186788869e-10
2.303362873142131284e-03 5.958171082738367184e-12 1.800216222068011841e-10
2.330061410696924844e-03 5.907378202042082738e-12 1.779622039963698705e-10
2.357069413996727789e-03 5.858023525784769965e-12 1.759313680745933332e-10
2.384390470093720581e-03 5.810112940886556438e-12 1.739288514211488272e-10
2.412028207618007077e-03 5.763653361043928574e-12 1.719543988249618852e-10
2.439986297259550199e-03 5.718652745816001761e-12 1.700077629058659907e-10
2.468268452255692556e-03 5.675120121005690050e-12 1.680887041412395511e-10
2.496878428884326609e-03 5.633065600369546808e-12 1.661969908977116791e-10
2.525820026962784671e-03 5.592500408692236907e-12 1.643323994680411098e-10
2.555097090352506824e-03 5.553436906263810285e-12 1.624947141132768724e-10
2.584713507469563968e-03 5.515888614799904853e-12 1.606837271103088199e-10
2.614673211801091940e-03 5.479870244847672403e-12 1.588992388049306704e-10
2.644980182427719966e-03 5.445397724722305311e-12 1.571410576705338745e-10
2.675638444552045497e-03 5.412488231021679250e-12 1.554090003725660001e-10
2.706652070033241288e-03 5.381160220769143421e-12 1.537028918388850290e-10
2.738025177927857611e-03 5.351433465237258108e-12 1.520225653361527945e-10
2.769761935036890721e-03 5.323329085507861082e-12 1.503678625524137410e-10
2.801866556459195207e-03 5.296869589827034345e-12 1.487386336860139700e-10
2.834343306151309184e-03 5.272078912816245594e-12 1.471347375410202983e-10
2.867196497493769945e-03 5.248982456604390468e-12 1.455560416293066492e-10
2.900430493863991651e-03 5.227607133948420614e-12 1.440024222794839429e-10
2.934049709215786998e-03 5.207981413413939859e-12 1.424737647528524391e-10
2.968058608665602276e-03 5.190135366690566943e-12 1.409699633665698094e-10
3.002461709085549064e-03 5.174100718120545186e-12 1.394909216242289894e-10
3.037263579703311511e-03 5.159910896523099864e-12 1.380365523540526334e-10
3.072468842709003348e-03 5.147601089400972341e-12 1.366067778549183578e-10
3.108082173869063970e-03 5.137208299619849426e-12 1.352015300504356578e-10
3.144108303147264728e-03 5.128771404655814519e-12 1.338207506513067790e-10
3.180552015332919948e-03 5.122331218510626676e-12 1.324643913262126419e-10
3.217418150676371654e-03 5.117930556399370625e-12 1.311324138814700602e-10
3.254711605531848163e-03 5.115614302320155091e-12 1.298247904497255457e-10
3.292437333007768984e-03 5.115429479620851272e-12 1.285415036879492855e-10
3.330600343624588386e-03 5.117425324683377297e-12 1.272825469850150826e-10
3.369205705980266984e-03 5.121653363851773079e-12 1.260479246791523871e-10
3.408258547423452002e-03 5.128167493736554191e-12 1.248376522855765007e-10
3.447764054734464220e-03 5.137024065034014673e-12 1.236517567346073017e-10
3.487727474814177487e-03 5.148281970006000328e-12 1.224902766206043903e-10
3.528154115380883159e-03 5.162002733772493516e-12 1.213532624620555250e-10
3.569049345675229679e-03 5.178250609576860465e-12 1.202407769731689678e-10
3.610418597173337477e-03 5.197092678191116543e-12 1.191528953473334180e-10
3.652267364308175480e-03 5.218598951636778586e-12 1.180897055528236286e-10
3.694601205199302477e-03 5.242842481405295407e-12 1.170513086411420880e-10
3.737425742391064371e-03 5.269899471370750809e-12 1.160378190684033730e-10
3.780746663599349276e-03 5.299849395597206726e-12 1.150493650301824454e-10
3.824569722466999305e-03 5.332775121252355075e-12 1.140860888102630960e-10
3.868900739327975347e-03 5.368763036849851763e-12 1.131481471437390472e-10
3.913745601980383668e-03 5.407903186053134115e-12 1.122357115949382471e-10
3.959110266468458469e-03 5.450289407284996871e-12 1.113489689506546970e-10
4.005000757873610970e-03 5.496019479399059529e-12 1.104881216291956750e-10
4.051423171114646934e-03 5.545195273681684876e-12 1.096533881057631144e-10
4.098383671757261509e-03 5.597922912465994018e-12 1.088450033547150235e-10
4.145888496832911101e-03 5.654312934653477688e-12 1.080632193092651015e-10
4.193943955667186335e-03 5.714480468453068584e-12 1.073083053392057920e-10
4.242556430717777174e-03 5.778545411662805198e-12 1.065805487472553343e-10
4.291732378422157684e-03 5.846632619835118182e-12 1.058802552846556598e-10
4.341478330055092809e-03 5.918872102683724290e-12 1.052077496866675620e-10
4.391800892596085977e-03 5.995399229107550757e-12 1.045633762286353022e-10
4.442706749606882902e-03 6.076354941225902264e-12 1.039474993033151601e-10
4.494202662119141725e-03 6.161885977838482600e-12 1.033605040201885440e-10
4.546295469532399616e-03 6.252145107744432613e-12 1.028027968275053664e-10
4.598992090522438167e-03 6.347291373376266767e-12 1.022748061578326474e-10
4.652299523960188969e-03 6.447490345227185461e-12 1.017769830979057626e-10
4.706224849841281720e-03 6.552914387574289041e-12 1.013098020836163397e-10
4.760775230226368428e-03 6.663742936025289355e-12 1.008737616209917080e-10
4.815957910192351227e-03 6.780162787442943575e-12 1.004693850340597080e-10
4.871780218794630885e-03 6.902368402829176291e-12 1.000972212405185317e-10
4.928249570040513054e-03 7.030562223780361320e-12 9.975784555616785137e-11
4.985373463873893699e-03 7.164955003156070608e-12 9.945186052908863440e-11
5.043159487171358993e-03 7.305766150636142764e-12 9.917989680459902613e-11
5.101615314749833284e-03 7.453224093875298640e-12 9.894261402204418853e-11
5.160748710385907809e-03 7.607566656000499986e-12 9.874070174452090356e-11
5.220567527846975073e-03 7.769041450234305585e-12 9.857488042267399150e-11
5.281079711934331088e-03 7.937906292467776075e-12 9.844590239374374199e-11
5.342293299538352150e-03 8.114429632648183408e-12 9.835455291708482389e-11
5.404216420705915298e-03 8.298891005891769370e-12 9.830165124742016664e-11
5.466857299720180412e-03 8.491581504278336163e-12 9.828805174713920112e-11
5.530224256192900478e-03 8.692804270333895491e-12 9.831464503899653218e-11
5.594325706169377133e-03 8.902875013259711750e-12 9.838235920061370863e-11
5.659170163246242738e-03 9.122122549020841679e-12 9.849216100223858420e-11
5.724766239702178301e-03 9.350889365465106038e-12 9.864505718926755746e-11
5.791122647641758041e-03 9.589532213704541679e-12 9.884209581108886609e-11
5.858248200152535966e-03 9.838422727055343443e-12 9.908436759786221272e-11
5.926151812475552276e-03 1.009794806890043953e-11 9.937300738690485140e-11
5.994842503189408769e-03 1.036851161091002834e-11 9.970919560041632869e-11
6.064329395408061575e-03 1.065053364313100611e-11 1.000941597763328674e-10
6.134621717992506419e-03 1.094445211753555153e-11 1.005291761541686851e-10
6.205728806776500406e-03 1.125072342670306947e-11 1.010155713177641720e-10
6.277660105806499857e-03 1.156982321939833684e-11 1.015547238969323529e-10
6.350425168595961664e-03 1.190224725490170320e-11 1.021480663300633648e-10
6.424033659394191159e-03 1.224851229804608832e-11 1.027970866898205068e-10
6.498495354469888304e-03 1.260915705701918515e-11 1.035033305741368876e-10
6.573820143409585606e-03 1.298474316609920590e-11 1.042684030648005872e-10
6.650018030431118291e-03 1.337585621560807476e-11 1.050939707559963312e-10
6.727099135712336607e-03 1.378310683148853802e-11 1.059817638552567336e-10
6.805073696735206880e-03 1.420713180704025586e-11 1.069335783593623197e-10
6.883952069645496441e-03 1.464859528948664358e-11 1.079512783078192259e-10
6.963744730628221996e-03 1.510819002418777133e-11 1.090367981166387143e-10
7.044462277299036630e-03 1.558663865946666967e-11 1.101921449952359699e-10
7.126115430111745405e-03 1.608469511517676123e-11 1.114194014493681924e-10
7.208715033782135163e-03 1.660314601830766508e-11 1.127207278731342429e-10
7.292272058728312828e-03 1.714281220910545857e-11 1.140983652331655081e-10
7.376797602527730875e-03 1.770455032137292278e-11 1.155546378482484624e-10
7.462302891391108146e-03 1.828925444081441455e-11 1.170919562677340896e-10
7.548799281653431614e-03 1.889785784550177243e-11 1.187128202522085019e-10
7.636298261282242067e-03 1.953133483276045997e-11 1.204198218600229685e-10
7.724811451403399733e-03 2.019070263701064421e-11 1.222156486434063747e-10
7.814350607844541483e-03 2.087702344334735368e-11 1.241030869580188729e-10
7.904927622696419562e-03 2.159140650190741789e-11 1.260850253899398085e-10
7.996554525892346499e-03 2.233501034834858638e-11 1.281644583042241060e-10
8.089243486805938743e-03 2.310904513606163953e-11 1.303444895193106439e-10
8.183006815867388886e-03 2.391477508604664084e-11 1.326283361117141870e-10
8.277856966198472027e-03 2.475352106071443526e-11 1.350193323555940029e-10
8.373806535266490117e-03 2.562666326822197225e-11 1.375209338019499199e-10
8.470868266557402340e-03 2.653564410431897711e-11 1.401367215023704455e-10
8.569055051268347975e-03 2.748197113907288972e-11 1.428704063824284822e-10
8.668379930019773361e-03 2.846722025625060574e-11 1.457258337700014059e-10
8.768856094587426653e-03 2.949303895357307563e-11 1.487069880839819051e-10
8.870496889654402514e-03 3.056114981251854531e-11 1.518179976890362022e-10
8.973315814583519498e-03 3.167335414684107288e-11 1.550631399222709061e-10
9.077326525210224414e-03 3.283153583948557566e-11 1.584468462978739760e-10
9.182542835656282154e-03 3.403766537813046509e-11 1.619737078960128817e-10
9.288978720164497299e-03 3.529380410016704895e-11 1.656484809424968724e-10
9.396648314954691300e-03 3.660210865853938195e-11 1.694760925859378187e-10
9.505565920101191960e-03 3.796483572051815084e-11 1.734616468793865609e-10
9.615746001432095430e-03 3.938434691217144827e-11 1.776104309736682734e-10
9.727203192450536648e-03 4.086311402202358953e-11 1.819279215298966251e-10
9.839952296278226679e-03 4.240372447816711537e-11 1.864197913589127403e-10
9.954008287621518916e-03 4.400888711391197494e-11 1.910919162956693805e-10
1.006938631476027128e-02 4.568143823792369850e-11 1.959503823168678253e-10
1.018610170155975249e-02 4.742434802572250474e-11 2.010014929104481148e-10
1.030416994950587514e-02 4.924072725039100518e-11 2.062517767058382084e-10
1.042360673976401239e-02 5.113383437137229252e-11 2.117079953741897527e-10
1.054442793526168438e-02 5.310708300133689921e-11 2.173771518081488603e-10
1.066664958279538861e-02 5.516404977226080036e-11 2.232664985910565328e-10
1.079028791516183604e-02 5.730848262308931546e-11 2.293835467658193519e-10
1.091535935331391059e-02 5.954430953267327722e-11 2.357360749140644074e-10
1.104188050854160164e-02 6.187564772304999713e-11 2.423321385565585602e-10
1.116986818467822530e-02 6.430681335961847497e-11 2.491800798862734775e-10
1.129933938033221737e-02 6.684233177632099270e-11 2.562885378458784906e-10
1.143031129114478565e-02 6.948694825560611793e-11 2.636664585618626280e-10
1.156280131207375328e-02 7.224563939471013391e-11 2.713231061479261787e-10
1.169682703970384603e-02 7.512362509166915088e-11 2.792680738907255332e-10
1.183240627458377950e-02 7.812638118646035639e-11 2.875112958315303439e-10
1.196955702359042868e-02 8.125965279478792748e-11 2.960630587578292771e-10
1.210829750232039412e-02 8.452946837426981799e-11 3.049340146194234526e-10
1.224864613750930795e-02 8.794215456517172053e-11 3.141351933840665995e-10
1.239062156947915577e-02 9.150435185036554659e-11 3.236780163482469208e-10
1.253424265461399421e-02 9.522303108188761735e-11 3.335743099192656065e-10
1.267952846786433996e-02 9.910551092433568994e-11 3.438363198853384663e-10
1.282649830528059809e-02 1.031594762683880720e-10 3.544767261910503231e-10
1.297517168657586796e-02 1.073929976709702632e-10 3.655086582361135365e-10
1.312556835771842845e-02 1.118145518820358152e-10 3.769457107160119776e-10
1.327770829355429116e-02 1.164330435215939712e-10 3.888019600237904752e-10
1.343161170046015297e-02 1.212578279745139350e-10 4.010919812329346625e-10
1.358729901902709127e-02 1.262987355747825199e-10 4.138308656819936994e-10
1.374479092677536630e-02 1.315660971553021584e-10 4.270342391823458094e-10
1.390410834090069665e-02 1.370707710440161518e-10 4.407182808712740891e-10
1.406527242105236331e-02 1.428241715921405646e-10 4.548997427333091263e-10
1.422830457214351897e-02 1.488382993256041969e-10 4.695959698136154760e-10
1.439322644719406505e-02 1.551257728164583360e-10 4.848249211480709420e-10
1.456005995020648487e-02 1.616998623770451622e-10 5.006051914355447266e-10
1.472882723907501835e-02 1.685745256861319335e-10 5.169560334788203947e-10
1.489955072852853710e-02 1.757644454630452342e-10 5.338973814215434860e-10
1.507225309310755539e-02 1.832850693131187629e-10 5.514498748095716025e-10
1.524695727017572923e-02 1.911526518755062285e-10 5.696348835061103378e-10
1.542368646296627364e-02 1.993842994126600843e-10 5.884745334910902901e-10
1.560246414366367983e-02 2.079980169895534760e-10 6.079917335763228642e-10
1.578331405652116590e-02 2.170127584000735656e-10 6.282102030691235955e-10
1.596626022101425152e-02 2.264484790079582383e-10 6.491545004182528797e-10
1.615132693503091438e-02 2.363261916802533587e-10 6.708500528772645567e-10
1.633853877809861993e-02 2.466680260025296968e-10 6.933231872215839545e-10
1.652792061464895476e-02 2.574972909771294992e-10 7.166011615570131144e-10
1.671949759731990170e-02 2.688385414184499700e-10 7.407121982586306422e-10
1.691329517029648705e-02 2.807176482729055219e-10 7.656855180805483458e-10
1.710933907269015022e-02 2.931618731056502358e-10 7.915513754783981964e-10
1.730765534195725930e-02 3.061999470115362114e-10 8.183410951879560180e-10
1.750827031735725098e-02 3.198621542241504982e-10 8.460871101048762346e-10
1.771121064345088786e-02 3.341804207141694782e-10 8.748230005121444397e-10
1.791650327363901452e-02 3.491884080867610326e-10 9.045835347035379750e-10
1.812417547374237797e-02 3.649216131074244847e-10 9.354047110531431825e-10
1.833425482562290806e-02 3.814174732065248668e-10 9.673238015827903500e-10
1.854676923084699544e-02 3.987154783349528637e-10 1.000379397081149515e-09
1.876174691439121481e-02 4.168572895668585772e-10 1.034611453830196810e-09
1.897921642839101378e-02 4.358868648703766360e-10 1.070061341996763848e-09
1.919920665593284614e-02 4.558505924937179616e-10 1.106771895749003730e-09
1.942174681489026306e-02 4.767974324420543810e-10 1.144787465159789490e-09
1.964686646180446514e-02 4.987790665503239070e-10 1.184153969961290836e-09
1.987459549580983947e-02 5.218500576885409416e-10 1.224918955217368530e-09
2.010496416260499145e-02 5.460680186694220064e-10 1.267131648982803237e-09
2.033800305846981960e-02 5.714937914633283985e-10 1.310843022020960027e-09
2.057374313432913659e-02 5.981916373626049735e-10 1.356105849654044225e-09
2.081221569986339143e-02 6.262294387765807505e-10 1.402974775822864837e-09
2.105345242766706176e-02 6.556789133797831152e-10 1.451506379435830861e-09
2.129748535745520921e-02 6.866158413793659924e-10 1.501759243089813359e-09
2.154434690031884619e-02 7.191203067135066121e-10 1.553794024248560499e-09
2.179406984302955860e-02 7.532769530405377445e-10 1.607673528967481210e-09
2.204668735239409885e-02 7.891752554290126912e-10 1.663462788256900889e-09
2.230223297965938656e-02 8.269098087116982210e-10 1.721229137179258230e-09
2.256074066496861416e-02 8.665806335217661609e-10 1.781042296779256886e-09
2.282224474186898486e-02 9.082935010871641538e-10 1.842974458949616394e-09
2.308677994187169694e-02 9.521602779193646407e-10 1.907100374338873700e-09
2.335438139906479207e-02 9.982992915953157257e-10 1.973497443411592730e-09
2.362508465477947475e-02 1.046835718896540687e-09 2.042245810775467145e-09
2.389892566231050300e-02 1.097901997636757108e-09 2.113428462894015425e-09
2.417594079169130966e-02 1.151638263579182872e-09 2.187131329307937277e-09
2.445616683452446483e-02 1.208192813916614637e-09 2.263443387492860849e-09
2.473964100886814205e-02 1.267722598861410954e-09 2.342456771485857171e-09
2.502640096417919208e-02 1.330393742968355523e-09 2.424266884418076810e-09
2.531648478631355614e-02 1.396382097890978887e-09 2.508972515095988941e-09
2.560993100258459471e-02 1.465873828350844766e-09 2.596675958778977570e-09
2.590677858688008803e-02 1.539066033179433125e-09 2.687483142306627297e-09
2.620706696483852613e-02 1.616167403373067808e-09 2.781503753734682743e-09
2.651083601908538895e-02 1.697398919182555612e-09 2.878851376644708714e-09
2.681812609453015570e-02 1.782994588340341549e-09 2.979643629298612569e-09
2.712897800372467139e-02 1.873202227608424302e-09 3.084002308815603769e-09
2.744343303228365463e-02 1.968284289909626003e-09 3.192053540555916249e-09
2.776153294436800936e-02 2.068518739382250744e-09 3.303927932902460826e-09
2.808331998823172457e-02 2.174199976773077970e-09 3.419760737638867303e-09
2.840883690183304208e-02 2.285639817655247783e-09 3.539692016129809796e-09
2.873812691851066262e-02 2.403168526025080297e-09 3.663866811517339316e-09
2.907123377272578454e-02 2.527135905894323979e-09 3.792435327155024228e-09
2.940820170587063812e-02 2.657912453550808780e-09 3.925553111510069859e-09
2.974907547214440673e-02 2.795890573210138450e-09 4.063381249772452197e-09
3.009390034449721182e-02 2.941485858822650783e-09 4.206086562419035810e-09
3.044272212064302874e-02 3.095138444832745864e-09 4.353841810990237277e-09
3.079558712914226559e-02 3.257314428710460870e-09 4.506825911346546657e-09
3.115254223555487950e-02 3.428507368087272893e-09 4.665224154682470329e-09
3.151363484866478992e-02 3.609239855328334986e-09 4.829228436586096530e-09
3.187891292677645649e-02 3.800065172361224158e-09 4.999037494443500433e-09
3.224842498408442282e-02 4.001569028555991102e-09 5.174857153498825902e-09
3.262222009711669701e-02 4.214371384412549629e-09 5.356900581892636885e-09
3.300034791125285027e-02 4.439128363759331041e-09 5.545388555013867570e-09
3.338285864731761060e-02 4.676534257101474486e-09 5.740549729513369470e-09
3.376980310825091619e-02 4.927323618679075586e-09 5.942620927340732727e-09
3.416123268585528200e-02 5.192273459706870773e-09 6.151847430180033314e-09
3.455719936762139538e-02 5.472205540168627026e-09 6.368483284674745105e-09
3.495775574363275268e-02 5.767988761435156203e-09 6.592791618847221368e-09
3.536295501355042614e-02 6.080541661868426599e-09 6.825044970134153651e-09
3.577285099367873145e-02 6.410835017470250393e-09 7.065525625475618050e-09
3.618749812411280187e-02 6.759894549539679069e-09 7.314525973912747526e-09
3.660695147596902677e-02 7.128803741225996795e-09 7.572348872166770608e-09
3.703126675869927026e-02 7.518706764814337600e-09 7.839308023690833738e-09
3.746050032748993175e-02 7.930811521570631506e-09 8.115728371705447519e-09
3.789470919074667404e-02 8.366392796015694078e-09 8.401946506748448023e-09
3.833395101766601254e-02 8.826795526613045188e-09 8.698311089291683193e-09
3.877828414589457040e-02 9.313438195060583091e-09 9.005183287998233767e-09
3.922776758927719321e-02 9.827816336697177741e-09 9.322937234217141641e-09
3.968246104569481819e-02 1.037150617499825911e-08 9.651960493336183341e-09
4.014242490499322219e-02 1.094616838377159977e-08 9.992654553638324585e-09
4.060772025700365440e-02 1.155355198151123769e-08 1.034543533333309479e-08
4.107840889965647113e-02 1.219549836346493557e-08 1.071073370646138593e-08
4.155455334718875099e-02 1.287394547836413238e-08 1.108899604840016864e-08
4.203621683844713935e-02 1.359093215850687906e-08 1.148068480172301802e-08
4.252346334528681743e-02 1.434860261402921714e-08 1.188627906320301867e-08
4.301635758106794882e-02 1.514921110481314063e-08 1.230627519277660016e-08
4.351496500925049887e-02 1.599512680662516019e-08 1.274118744532002296e-08
4.401935185208874501e-02 1.688883889183479081e-08 1.319154862612533661e-08
4.452958509942655380e-02 1.783296184950336756e-08 1.365791077099859803e-08
4.504573251759458330e-02 1.883024107484507986e-08 1.414084585194150575e-08
4.556786265841063915e-02 1.988355876413022881e-08 1.464094650941658078e-08
4.609604486828433600e-02 2.099594015811580134e-08 1.515882681223809878e-08
4.663034929742731344e-02 2.217056018513982196e-08 1.569512304617347202e-08
4.717084690917017209e-02 2.341075056419428635e-08 1.625049453238529928e-08
4.771760948938745528e-02 2.472000743868254685e-08 1.682562447689135202e-08
4.827070965603182801e-02 2.610199962324882195e-08 1.742122085226874405e-08
4.883022086877879947e-02 2.756057755911120380e-08 1.803801731288032017e-08
4.939621743878321036e-02 2.909978308778586218e-08 1.867677414495473003e-08
4.996877453854883799e-02 3.072386016899545362e-08 1.933827925290825920e-08
5.054796821191240297e-02 3.243726668591219950e-08 2.002334918335476249e-08
5.113387538414326111e-02 3.424468749967016461e-08 2.073283018831190145e-08
5.172657387216018920e-02 3.615104893522210615e-08 2.146759932917599400e-08
5.232614239486661767e-02 3.816153490198987908e-08 2.222856562310500795e-08
5.293266058360561466e-02 4.028160487518285226e-08 2.301667123351957326e-08
5.354620899273607876e-02 4.251701398687693904e-08 2.383289270650560969e-08
5.416686911033152113e-02 4.487383549961671844e-08 2.467824225497906446e-08
5.479472336900287344e-02 4.735848595898100912e-08 2.555376909255407340e-08
5.542985515684668851e-02 4.997775334468648875e-08 2.646056081913991725e-08
5.607234882852032976e-02 5.273882856171466161e-08 2.739974486038134440e-08
5.672228971644543288e-02 5.564934063281069828e-08 2.837248996314844022e-08
5.737976414214134013e-02 5.871739597055439791e-08 2.938000774938027367e-08
5.804485942768977669e-02 6.195162211989469771e-08 3.042355433068731235e-08
5.871766390733255264e-02 6.536121636927302776e-08 3.150443198622490911e-08
5.939826693920356032e-02 6.895599962873279229e-08 3.262399090646136609e-08
6.008675891719687107e-02 7.274647596506256561e-08 3.378363100558122397e-08
6.078323128297229844e-02 7.674389816519292091e-08 3.498480380538763802e-08
6.148777653810023197e-02 8.096033966775031483e-08 3.622901439369582923e-08
6.220048825634711537e-02 8.540877315670991409e-08 3.751782346034522663e-08
6.292146109610344262e-02 9.010315604821783326e-08 3.885284941409943800e-08
6.365079081295571539e-02 9.505852301953609483e-08 4.023577058385209120e-08
6.438857427240420039e-02 1.002910856253870551e-07 4.166832750771241676e-08
6.513490946272802729e-02 1.058183389194792486e-07 4.315232531370897118e-08
6.588989550799949357e-02 1.116591748456474429e-07 4.468963619602164340e-08
6.665363268124913088e-02 1.178340019820908669e-07 4.628220199083280261e-08
6.742622241778342684e-02 1.243648710123989717e-07 4.793203685607908730e-08
6.820776732865685421e-02 1.312756050578105415e-07 4.964123005958409739e-08
6.899837121430017761e-02 1.385919337367570625e-07 5.141194888026332763e-08
6.979813907830660635e-02 1.463416295215839153e-07 5.324644162731180409e-08
7.060717714137772216e-02 1.545546446412612504e-07 5.514704078251750188e-08
7.142559285543126357e-02 1.632632464373910750e-07 5.711616627108878536e-08
7.225349491787214085e-02 1.725021487254384553e-07 5.915632886663814929e-08
7.309099328602911005e-02 1.823086363528261988e-07 6.127013373623739627e-08
